,power sensor (delta),power sensor (theta),power sensor (alpha),power sensor (beta),power sensor (gamma),power source (delta),power source (theta),power source (alpha),power source (beta),power source (gamma),wpli source (delta),wpli source (theta),wpli source (alpha),wpli source (beta),wpli source (gamma),correlation source (delta),correlation source (theta),correlation source (alpha),correlation source (beta),correlation source (gamma),correlation sensor (delta),correlation sensor (theta),correlation sensor (alpha),correlation sensor (beta),correlation sensor (gamma),wpli sensor (delta),wpli sensor (theta),wpli sensor (alpha),wpli sensor (beta),wpli sensor (gamma)
20,10.0,1.0,0.001,0.001,0.001,10.0,0.001,10.0,0.01,1.0,1.0,0.01,1.0,0.1,0.01,0.1,0.1,0.001,0.001,0.1,0.001,1.0,0.001,1.0,0.001,0.001,1.0,0.001,1.0,1.0
21,0.001,1.0,10.0,10.0,1.0,1.0,1.0,10.0,10.0,10.0,0.001,1.0,1.0,0.001,0.01,0.1,1.0,0.1,0.1,0.001,0.001,1.0,1.0,1.0,0.01,1.0,1.0,1.0,0.001,1.0
22,10.0,0.1,10.0,1.0,0.001,1.0,1.0,1.0,1.0,0.001,0.001,0.001,0.01,0.1,0.1,1.0,0.001,1.0,0.1,0.1,0.01,0.001,1.0,0.001,0.01,0.001,1.0,0.001,1.0,0.001
23,1.0,1.0,10.0,0.01,0.001,0.1,1.0,1.0,10.0,10.0,0.001,0.01,0.01,0.01,0.001,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.001,1.0,0.001,0.001,1.0,1.0,0.001,0.001
24,0.001,0.01,10.0,0.001,10.0,10.0,10.0,0.1,10.0,10.0,1.0,1.0,0.1,0.001,0.001,0.1,1.0,1.0,1.0,0.1,0.001,1.0,1.0,0.01,0.001,1.0,1.0,0.001,1.0,1.0
25,0.001,1.0,0.001,0.001,0.001,1.0,10.0,0.01,10.0,10.0,0.001,0.001,0.01,0.001,0.001,0.1,1.0,0.1,0.01,0.01,0.01,1.0,1.0,0.01,0.001,1.0,1.0,1.0,0.001,1.0
26,0.1,1.0,10.0,0.01,0.001,1.0,10.0,1.0,10.0,1.0,0.001,1.0,0.001,0.01,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.01,1.0,0.01,0.001,0.001,0.001,0.001,1.0
27,0.001,1.0,10.0,0.001,0.001,0.01,10.0,1.0,0.01,0.01,1.0,1.0,0.1,0.001,0.1,0.1,1.0,1.0,0.1,0.1,0.001,0.001,1.0,1.0,0.01,0.001,0.001,1.0,1.0,1.0
28,0.001,1.0,0.01,0.001,0.1,1.0,1.0,1.0,1.0,0.1,0.001,0.01,0.001,0.001,0.1,1.0,1.0,1.0,1.0,1.0,0.001,0.001,0.01,1.0,0.001,0.001,1.0,0.001,1.0,1.0
29,0.01,10.0,10.0,10.0,0.001,1.0,10.0,10.0,0.01,1.0,0.01,0.01,1.0,0.001,1.0,1.0,0.01,1.0,0.1,0.01,0.01,0.001,1.0,1.0,0.001,0.001,1.0,0.001,1.0,0.001
30,1.0,0.1,10.0,10.0,10.0,0.1,10.0,0.01,1.0,1.0,1.0,0.1,0.1,0.1,0.001,0.1,0.1,1.0,0.1,1.0,0.001,0.001,1.0,1.0,0.001,0.001,1.0,1.0,0.001,1.0
31,0.001,1.0,0.001,10.0,0.001,0.001,0.01,1.0,10.0,0.01,1.0,0.001,1.0,0.001,1.0,1.0,0.1,1.0,0.1,0.1,0.001,1.0,0.01,0.01,0.01,0.001,0.001,0.001,1.0,1.0
32,0.01,0.01,10.0,0.01,0.01,0.001,0.1,10.0,0.001,1.0,0.001,0.001,0.001,0.01,0.1,0.1,1.0,1.0,1.0,10.0,0.001,1.0,0.01,0.01,0.001,0.001,0.001,1.0,0.001,0.001
33,0.001,0.01,0.001,10.0,0.001,0.001,1.0,10.0,10.0,0.001,0.1,0.001,0.01,0.01,0.01,10.0,0.1,1.0,0.1,1.0,1.0,1.0,0.001,1.0,0.01,1.0,0.001,1.0,0.001,1.0
34,10.0,10.0,1.0,10.0,0.001,0.1,0.001,1.0,10.0,10.0,0.001,0.001,0.01,1.0,0.001,0.1,1.0,1.0,0.1,1.0,1.0,0.001,1.0,1.0,0.001,0.001,1.0,1.0,0.001,1.0
35,0.001,1.0,10.0,0.1,0.001,1.0,0.001,0.01,1.0,10.0,1.0,1.0,0.001,0.01,0.01,0.001,1.0,1.0,0.01,1.0,1.0,0.001,1.0,0.01,0.001,0.001,0.001,0.001,1.0,0.001
36,10.0,1.0,10.0,10.0,1.0,10.0,10.0,0.01,0.1,0.01,0.001,0.001,1.0,0.001,0.001,0.1,1.0,0.001,0.1,0.01,1.0,1.0,1.0,0.001,0.01,0.001,1.0,1.0,0.001,0.001
37,10.0,1.0,10.0,10.0,0.001,0.01,1.0,0.001,0.01,10.0,1.0,0.001,1.0,1.0,0.01,0.1,1.0,0.001,0.1,0.1,0.001,1.0,1.0,1.0,0.01,0.001,0.001,1.0,1.0,0.001
38,0.001,0.1,10.0,10.0,0.001,0.001,0.01,10.0,1.0,10.0,1.0,0.1,0.001,0.001,0.01,0.1,1.0,1.0,0.1,0.01,0.001,1.0,1.0,0.01,0.01,1.0,1.0,1.0,1.0,0.001
39,10.0,0.001,0.01,1.0,0.001,1.0,1.0,1.0,10.0,10.0,1.0,0.1,0.01,0.01,0.001,0.1,1.0,1.0,0.1,0.1,0.001,1.0,1.0,0.001,0.001,0.001,1.0,1.0,1.0,0.001
40,10.0,0.1,10.0,0.01,10.0,0.001,10.0,0.001,10.0,0.01,0.01,1.0,1.0,0.1,1.0,0.1,0.001,1.0,0.1,0.01,0.001,1.0,1.0,1.0,0.01,0.001,0.001,1.0,1.0,1.0
41,10.0,0.1,10.0,0.001,0.001,1.0,0.01,1.0,10.0,10.0,1.0,0.001,1.0,0.01,0.001,1.0,0.001,1.0,0.1,0.1,0.001,1.0,1.0,1.0,0.001,0.001,1.0,1.0,0.001,1.0
42,0.001,1.0,10.0,10.0,1.0,10.0,0.1,0.001,0.001,0.001,1.0,0.001,0.001,0.001,0.01,1.0,0.001,1.0,0.1,0.1,0.001,1.0,1.0,1.0,0.001,0.001,0.001,1.0,1.0,0.001
43,10.0,1.0,1.0,0.01,0.001,1.0,10.0,0.01,0.001,10.0,1.0,1.0,0.001,0.001,0.001,1.0,0.001,0.001,0.1,1.0,0.01,1.0,1.0,1.0,0.01,0.001,1.0,1.0,1.0,1.0
44,10.0,10.0,10.0,0.1,0.1,10.0,0.001,1.0,10.0,1.0,1.0,0.001,0.001,0.01,0.001,0.1,1.0,0.1,0.01,0.1,1.0,1.0,1.0,0.001,0.001,1.0,0.001,1.0,1.0,1.0
45,0.01,0.1,10.0,1.0,10.0,0.1,0.001,1.0,10.0,10.0,0.001,0.001,0.001,0.01,1.0,1.0,0.1,0.001,0.1,0.01,1.0,1.0,1.0,0.01,0.01,0.001,1.0,1.0,0.001,1.0
46,0.001,0.001,0.01,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.1,1.0,0.001,0.01,0.001,1.0,1.0,0.001,0.01,0.01,0.001,1.0,1.0,0.01,0.01,0.001,1.0,0.001,1.0,1.0
47,0.001,1.0,10.0,10.0,10.0,10.0,10.0,1.0,0.001,0.1,1.0,0.1,1.0,0.01,0.001,0.1,1.0,1.0,0.1,0.01,1.0,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,1.0
48,0.01,10.0,10.0,0.001,0.001,10.0,0.01,1.0,1.0,1.0,0.001,1.0,1.0,1.0,0.01,1.0,1.0,1.0,0.1,0.1,1.0,1.0,1.0,0.01,0.001,0.001,0.001,0.001,1.0,1.0
49,0.001,0.01,1.0,0.001,10.0,1.0,0.01,10.0,10.0,10.0,1.0,1.0,0.001,0.001,0.1,0.1,1.0,1.0,10.0,1.0,0.001,1.0,0.001,0.01,0.01,1.0,0.001,0.001,1.0,1.0
50,10.0,1.0,10.0,0.001,10.0,0.01,1.0,0.1,0.001,10.0,1.0,1.0,0.001,1.0,0.1,1.0,0.01,0.1,0.1,0.1,0.001,0.001,1.0,0.01,0.001,1.0,1.0,0.001,1.0,1.0
51,0.001,0.01,10.0,0.01,0.1,10.0,0.1,0.1,1.0,0.1,0.001,1.0,0.01,0.1,1.0,0.1,0.01,1.0,0.1,0.1,1.0,1.0,1.0,1.0,0.01,0.001,0.001,1.0,1.0,0.001
52,0.001,1.0,10.0,1.0,1.0,10.0,0.01,0.1,0.01,1.0,1.0,1.0,0.001,0.001,0.001,1.0,0.001,1.0,0.1,0.01,0.001,1.0,1.0,1.0,0.001,1.0,1.0,1.0,0.001,1.0
53,10.0,1.0,10.0,10.0,0.001,10.0,0.001,10.0,10.0,1.0,0.001,0.001,1.0,0.001,0.001,1.0,0.001,1.0,0.1,10.0,0.001,1.0,1.0,1.0,0.01,0.001,1.0,1.0,1.0,1.0
54,0.001,0.1,10.0,10.0,1.0,10.0,1.0,1.0,0.01,10.0,0.1,1.0,1.0,0.1,0.1,0.001,0.01,1.0,1.0,0.001,0.001,1.0,1.0,1.0,0.01,0.001,0.001,0.001,1.0,1.0
55,0.01,0.1,10.0,1.0,0.001,0.001,0.001,0.1,0.1,0.001,1.0,0.001,1.0,0.1,0.001,0.1,1.0,1.0,0.1,10.0,0.001,1.0,1.0,0.001,1.0,0.001,1.0,0.001,1.0,0.001
56,10.0,10.0,0.01,1.0,0.001,10.0,10.0,1.0,10.0,1.0,0.1,0.1,1.0,0.1,0.01,1.0,0.001,1.0,0.001,0.1,0.01,1.0,0.001,1.0,0.001,0.001,1.0,0.001,1.0,1.0
57,10.0,10.0,0.01,0.1,0.01,0.001,0.1,1.0,0.001,10.0,1.0,0.001,1.0,1.0,0.001,0.1,0.01,1.0,0.1,1.0,0.001,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,1.0
58,1.0,10.0,10.0,0.001,0.001,0.01,1.0,10.0,1.0,1.0,0.001,0.01,1.0,0.01,0.1,0.001,0.01,0.1,0.1,1.0,1.0,1.0,1.0,0.001,1.0,0.001,0.001,1.0,1.0,1.0
59,10.0,0.001,10.0,0.001,10.0,1.0,0.01,0.1,1.0,0.1,0.001,0.001,0.01,0.001,1.0,0.1,0.1,1.0,0.001,0.1,1.0,1.0,1.0,1.0,0.001,0.001,0.001,1.0,1.0,1.0
60,0.001,1.0,10.0,0.01,0.1,1.0,0.01,0.01,1.0,1.0,1.0,0.01,1.0,0.1,0.001,0.001,0.1,1.0,0.01,10.0,0.001,1.0,0.001,1.0,1.0,0.001,1.0,1.0,1.0,1.0
61,10.0,10.0,10.0,0.01,0.001,1.0,1.0,1.0,10.0,0.1,0.001,0.001,0.001,0.01,0.001,0.1,1.0,1.0,0.1,0.01,0.001,1.0,1.0,0.001,0.001,0.001,1.0,0.001,1.0,0.001
62,10.0,1.0,10.0,0.001,0.01,10.0,0.001,10.0,10.0,1.0,0.001,1.0,0.01,1.0,0.1,0.001,0.1,0.1,0.001,1.0,0.001,0.001,1.0,0.01,0.001,1.0,1.0,0.001,1.0,1.0
63,0.01,1.0,10.0,0.01,0.1,10.0,1.0,0.1,10.0,10.0,0.1,1.0,0.001,1.0,0.001,1.0,1.0,0.001,0.001,0.001,1.0,1.0,1.0,1.0,0.01,0.001,1.0,1.0,1.0,1.0
64,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,0.001,0.01,0.001,1.0,0.1,0.001,1.0,0.1,1.0,0.001,1.0,1.0,0.01,0.01,0.001,0.001,0.001,1.0,1.0
65,10.0,10.0,0.01,1.0,0.001,1.0,10.0,10.0,1.0,10.0,1.0,0.01,0.1,0.001,0.001,0.1,1.0,0.001,0.1,1.0,1.0,1.0,0.01,0.001,0.01,0.001,0.001,1.0,1.0,0.001
66,0.01,1.0,10.0,0.001,0.01,1.0,10.0,1.0,0.1,1.0,0.001,0.1,0.01,1.0,0.001,0.1,1.0,0.1,1.0,1.0,0.001,1.0,0.001,0.01,1.0,0.001,1.0,0.001,0.001,0.001
67,10.0,1.0,10.0,10.0,0.1,1.0,1.0,0.01,10.0,1.0,0.001,0.001,0.01,0.001,0.001,0.1,1.0,0.001,1.0,0.1,1.0,0.001,1.0,0.001,1.0,0.001,0.001,1.0,1.0,1.0
68,1.0,10.0,10.0,1.0,0.01,10.0,1.0,0.01,10.0,10.0,1.0,0.01,0.01,0.1,0.1,0.1,1.0,0.1,0.01,1.0,0.001,1.0,1.0,1.0,0.001,0.001,1.0,0.001,1.0,1.0
69,10.0,1.0,10.0,10.0,0.001,0.01,10.0,1.0,0.1,1.0,1.0,0.001,1.0,0.01,0.001,0.1,1.0,0.1,1.0,1.0,1.0,1.0,1.0,0.001,0.01,1.0,0.001,0.001,1.0,1.0
70,10.0,1.0,10.0,10.0,10.0,10.0,1.0,0.001,10.0,0.01,1.0,0.001,1.0,0.01,0.01,1.0,1.0,0.1,0.01,0.1,1.0,1.0,1.0,0.001,1.0,1.0,1.0,0.001,1.0,1.0
71,10.0,0.01,10.0,1.0,10.0,0.1,1.0,0.01,0.01,10.0,1.0,1.0,0.001,1.0,1.0,0.1,0.1,1.0,0.1,0.1,0.001,1.0,1.0,0.01,0.001,0.001,0.001,0.001,1.0,1.0
72,0.001,10.0,0.001,1.0,0.01,10.0,10.0,0.1,1.0,1.0,1.0,1.0,0.01,0.001,0.001,0.001,1.0,0.001,0.01,0.1,0.001,1.0,0.001,0.001,0.001,1.0,0.001,1.0,1.0,1.0
73,10.0,0.001,1.0,0.01,10.0,0.001,10.0,1.0,0.01,0.1,0.001,0.01,1.0,1.0,0.001,1.0,1.0,1.0,0.1,0.1,0.001,1.0,0.001,1.0,0.001,0.001,1.0,1.0,1.0,1.0
74,10.0,0.001,10.0,0.001,1.0,10.0,1.0,10.0,10.0,0.001,0.001,0.001,0.001,0.01,0.01,0.1,1.0,0.1,1.0,0.01,0.001,0.001,1.0,0.001,0.01,0.001,1.0,1.0,1.0,1.0
75,10.0,1.0,10.0,0.01,10.0,10.0,10.0,10.0,1.0,0.001,0.001,0.001,0.01,1.0,1.0,0.001,0.001,0.001,1.0,0.001,1.0,1.0,1.0,1.0,0.01,0.001,0.001,1.0,0.001,1.0
76,0.01,0.001,10.0,1.0,0.001,10.0,10.0,10.0,10.0,0.001,0.001,0.1,0.001,0.1,1.0,0.1,0.01,0.1,1.0,0.001,0.01,1.0,1.0,1.0,0.001,1.0,0.001,0.001,1.0,1.0
77,0.001,0.001,10.0,0.01,0.001,0.01,1.0,10.0,1.0,0.001,1.0,0.001,1.0,0.001,1.0,0.1,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.01,0.01,0.001,0.001,1.0,1.0,1.0
78,10.0,10.0,10.0,0.001,1.0,1.0,1.0,1.0,10.0,0.001,1.0,0.01,0.01,1.0,0.1,0.1,1.0,0.01,0.01,10.0,1.0,1.0,1.0,1.0,0.01,1.0,0.001,1.0,1.0,1.0
79,10.0,0.1,10.0,0.001,0.001,10.0,0.01,0.01,10.0,0.01,0.001,1.0,0.01,0.001,1.0,0.1,0.001,1.0,0.01,0.1,0.01,1.0,0.01,1.0,0.001,0.001,0.001,1.0,1.0,1.0
80,10.0,10.0,10.0,1.0,10.0,0.01,0.01,1.0,0.1,10.0,1.0,0.001,0.001,0.01,0.001,1.0,1.0,0.001,0.1,0.1,0.001,1.0,1.0,0.001,0.01,0.001,0.001,1.0,0.001,1.0
81,10.0,1.0,10.0,10.0,10.0,1.0,1.0,10.0,0.01,10.0,0.01,0.1,0.01,0.001,0.001,0.1,1.0,0.1,1.0,0.01,1.0,1.0,0.001,1.0,0.01,0.001,0.001,1.0,1.0,1.0
82,10.0,0.1,10.0,1.0,0.001,10.0,0.1,0.01,0.001,10.0,0.001,0.001,0.001,0.01,0.1,0.1,0.001,1.0,0.1,1.0,1.0,1.0,1.0,1.0,0.01,0.001,0.001,1.0,1.0,1.0
83,1.0,10.0,10.0,0.001,0.001,1.0,1.0,1.0,0.1,10.0,0.001,0.1,0.001,0.01,0.001,0.1,1.0,1.0,1.0,0.1,0.001,0.001,1.0,1.0,0.01,0.001,1.0,0.001,0.001,0.001
84,1.0,0.001,10.0,0.001,0.001,10.0,0.1,0.001,10.0,0.001,0.01,1.0,0.01,0.01,0.01,0.001,0.01,0.1,0.01,0.1,1.0,1.0,1.0,1.0,0.001,0.001,0.001,1.0,1.0,1.0
85,0.001,1.0,10.0,1.0,1.0,0.001,0.1,0.001,10.0,0.001,1.0,0.1,0.01,0.001,0.001,0.1,0.01,1.0,0.1,0.1,1.0,1.0,1.0,0.001,0.01,0.001,1.0,0.001,0.001,0.001
86,0.001,1.0,10.0,0.001,0.001,10.0,1.0,10.0,1.0,1.0,0.001,0.1,0.01,0.01,0.1,0.1,0.1,0.001,0.01,0.01,1.0,0.001,0.01,0.01,0.01,0.001,1.0,1.0,1.0,1.0
87,0.001,1.0,10.0,10.0,0.01,1.0,1.0,1.0,0.001,1.0,0.001,0.01,1.0,0.01,0.001,0.1,1.0,1.0,0.1,0.001,1.0,1.0,0.01,0.001,0.001,0.001,1.0,0.001,1.0,0.001
88,10.0,10.0,10.0,10.0,0.01,10.0,1.0,0.01,10.0,10.0,0.001,0.01,0.01,0.001,0.001,0.1,1.0,0.001,0.1,0.001,0.001,0.001,1.0,0.001,0.01,1.0,1.0,1.0,1.0,1.0
89,0.001,10.0,10.0,0.001,0.001,10.0,1.0,0.1,1.0,10.0,1.0,0.001,0.01,0.1,0.001,1.0,0.1,0.001,0.1,0.01,0.001,1.0,1.0,0.01,0.01,0.001,1.0,0.001,1.0,0.001
90,10.0,1.0,10.0,1.0,0.001,10.0,0.01,10.0,1.0,0.1,0.1,0.001,0.001,0.1,1.0,0.1,1.0,0.001,0.01,10.0,1.0,0.001,1.0,0.001,0.001,1.0,1.0,0.001,0.001,1.0
91,10.0,0.1,0.1,10.0,0.1,10.0,0.01,0.001,0.1,10.0,1.0,0.001,1.0,0.01,0.001,1.0,0.1,0.001,1.0,1.0,0.001,1.0,1.0,1.0,0.01,1.0,1.0,0.001,1.0,0.001
92,10.0,1.0,10.0,10.0,0.001,10.0,10.0,10.0,10.0,0.01,0.001,0.01,1.0,0.001,0.001,0.1,0.001,0.001,10.0,0.01,0.001,1.0,1.0,0.01,0.01,1.0,0.001,1.0,1.0,0.001
93,10.0,1.0,10.0,10.0,0.001,1.0,0.01,1.0,10.0,10.0,0.01,1.0,0.001,0.001,0.01,1.0,0.1,0.001,0.01,1.0,1.0,1.0,0.001,1.0,0.01,0.001,0.001,1.0,1.0,1.0
94,10.0,10.0,10.0,0.001,0.01,1.0,10.0,1.0,1.0,0.01,1.0,0.001,0.01,0.01,0.01,1.0,0.01,0.001,0.01,0.1,0.001,1.0,1.0,0.001,0.001,1.0,1.0,1.0,1.0,1.0
95,0.01,10.0,1.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0,0.001,0.001,0.1,0.1,1.0,0.1,0.01,1.0,0.1,0.001,1.0,1.0,1.0,0.001,0.01,1.0,1.0,1.0,1.0,0.001
96,10.0,1.0,10.0,10.0,0.001,10.0,1.0,0.001,10.0,10.0,1.0,0.1,0.01,0.001,0.001,0.1,0.01,1.0,0.1,0.001,1.0,1.0,0.001,0.001,0.001,1.0,0.001,0.001,1.0,1.0
97,10.0,0.1,10.0,0.001,0.001,1.0,0.1,10.0,10.0,0.01,0.001,1.0,0.001,0.001,1.0,1.0,0.1,1.0,0.01,1.0,0.001,0.001,1.0,0.001,0.01,0.001,1.0,1.0,1.0,0.001
98,1.0,1.0,1.0,10.0,0.01,0.01,0.001,10.0,10.0,10.0,0.001,1.0,0.01,0.001,0.001,0.001,0.01,0.1,1.0,0.1,1.0,1.0,1.0,0.01,0.001,0.001,1.0,0.001,1.0,1.0
99,1.0,10.0,0.1,1.0,0.001,10.0,10.0,1.0,1.0,0.01,0.001,1.0,1.0,1.0,0.001,1.0,0.1,0.1,0.1,0.001,0.001,1.0,1.0,0.001,0.001,0.001,1.0,0.001,1.0,0.001
