bids_id,age_range,attitude_towards_hypnosis,country_of_residence,description_type_1,description_type_2,description_type_3,description_type_4,effective_of_hypnoanalgesia,expectancy_1,expectancy_2,expectancy_3,expectancy_4,experiences_freetext_1,experiences_freetext_2,experiences_freetext_3,experiences_freetext_4,felt_discomfort,felt_discomfort_free_description,gender,hypnosis_depth_1,hypnosis_depth_2,hypnosis_depth_3,hypnosis_depth_4,knowledge_level_on_hypnosis,knowledge_source,knowledge_source_other,language,motivation_to_get_hypnotized,prefered_procedure,procedure_type_1,procedure_type_2,procedure_type_3,procedure_type_4,suspected_control,suspected_real_hypnosis,which_real_hypnosis,which_real_control,tried_hypnosis_before,tried_hypnosis_before_for_pain
11,18 - 24,3,Magyarország,hypnosis,control,control,hypnosis,6,5,3,2,7,"Úgy érzem, teljes mértékben sikerült ellazulnom és egy más tudatállapotba kerülnöm. Nem csupán egy pihenés volt, hanem egy elmélyülés, amit kifejezetten élveztem.","Az utóbbi pár percben úgy érzem, inkább relaxáltam, mint elmélyült tudatállapotba kerültem. A végére sikerült ellazulnom és az éber-mély tudatállapot között voltam.","Talán most voltam a legelmélyültebb tudatállapotban. A testem teljesen ellazult és éreztem a \""lebegést\"". Sikerült teljesen kizárnom a külvilágot és elmélyülni a saját, békés gondolataimban.","Az ún. fehér zajt először erősnek, hangosnak éreztem, de egy idő után hozzászoktam, sőt, segített az elmélyülésben. Olyan volt, mint egy erős nyári zápor, ami hozzájárult az ellazuláshoz.",No,,Female,7,3,8,7,5,Heard/read about it on the internet;,,hun,9,confusion,confusion,embedded,relaxation,whitenoise,No,Yes,whitenoise,relaxation,No,No
12,18 - 24,5,magyarország,control,hypnosis,hypnosis,control,10,3,8,7,6,"kényelmetlen a pozíció, fekve biztosan hatásosabb lenne. kellemetlenséget éreztem a nyakam jobb oldalán, valószínű a sapka nehézsége miatt. azt éreztem közben, hogy haladhatnánk már az izgalmasabb részre és azt, hogy nevetséges ilyen gyorsan \hipnózisba\"" kerülnifőleg egy pörgős nap után. túl hosszúnak éreztem a csendben töltött időtezáltal könnyen elkalandoznak a gondolatok. legalábbis az enyémek. sajnos a nyakfájdalom elvonta a mélyebb fókusztez okozta a legnagyobb problémát. ""","lehet, hogy elkerülte a figyelmem, de én nem hallottam, hogy mondta volna, hogy csukjam be a szemem... szóval nem igazá éreztem semmit. unalmas volt a szöveg. elnézelődtem és megint azt vártam, hogy érjünk a hatásosabb részhez végre. ","na végre! ez volt eddig a leghatásosabb. a  beszéd résznél is egész jól működött a dolog, aztán amikor csend lett, megint jött egy gondolat, hogy jaj, minek, de végül pont az volt a legjobb rész, mert kezdtem azt érezni, hogy mindjárt elalszom. nem is volt kedvem kinyitni a szemem, ez mehetett volna tovább is. emberünk beszéde egyébként hagy némi kivetni valót maga után.. fura. meg van egy rész, ahol kétszer mondja a szót, azt kivághatták volna, mindig feltűnik. a hangja sem az a tipikus megnyugtató fajta, de ez lehet, hogy csak az én szubjektív véleményem. mindenesetre összességében ez a rész esett a legjobban. ","ez is jó volt. először meglepődtem a fehérzaj hangerején, meg kicsit durvának tűnt, de szép lassan átváltott egy kellemes érzésre. olyan volt, mint egy vízesés. jól el tudtam mélyülni benne a végére, mehetett volna tovább, megint hirtelen jött a csend, de később azt is megszoktam és belekényelmesedtem, tudtam volna aludni megint. az előzőnél elfelejtettem írni, de sokat segített, hogy lejjebb csúsztam a széken. emberünk beszéde még mindig kissé zavaró, de lényegtelen. összességében ez is jóleső élmény volt. ",Yes,"korábban megírtam, de tulajdonképpen az első után már nem észleltem a nyakfájdalmat olyan feltűnően. ",Female,0,0,7,6,8,Read book(s) about it;Heard/read about it on the internet;,,hun,10,confusion,relaxation,embedded,confusion,whitenoise,Yes,Yes,confusion,whitenoise,No,No
13,18 - 24,3,magyarország,control,hypnosis,control,hypnosis,6,0,2,2,8,"nem éreztem különösebb változst. kicsit nehezebben tudtam levegőt venni, a gondolataim nem pörögtek annyira, és nyugodtabb voltam egy kicsit","az elején nem éreztem semmit, aztán nagyon levert a víz és elkezdtem izzadni. azután pedig átkerültem egy másik fázisba, ahova nem tudtak követni a negatív gondolataim, a jókra pedig sokkal jobban tudtam koncentrálni. tudtam magamról, rendesen gondolkodtam, és vissza tudtam volna jönni a rendes állapotomba, de nem akartam, mert olyan volt, mintha pihennék, de a gondolataim nem járnak össze vissza","kellemes érzés volt, éreztm, hogy az elmém teljesen ellazult, és mintha aludtam volna, de közben tudtamm arra figyelni, amit mondtak. a gondolataim itt is lassabban áramlottak, de sokkal jobban tudtam rájuk koncentrálni, és ki tudtam szűrni, hogy melyik gondolat felesleges és melyik nem. a feleslegesek pedig eltűntek. ","olyan érzés volt, mint mielőtt már majdnem alszok, de tudtam gondolkodni, és magamnál voltam, de abban a fázisban, amikor már majdnem alszok.",Yes,levert a víz és kicsit elkezdtem szédülni,Female,2,8,6,6,9,Heard/read about it on the internet;,,hun,8,whitenoise,embedded,whitenoise,confusion,relaxation,Yes,Yes,whitenoise,confusion,No,No
14,18 - 24,1,Magyarorszag,control,control,hypnosis,hypnosis,5,0,0,10,10,"Kisse turelmetlen voltam, mert kivacsi voltam, hogy mi fog tortenni. Eyen kivul megtapasztaltam nehany nyugodt, elmelyult pillanatot is.","Nyugdt voltam, syabadon aramoltak a gondolataim. Kicsit olzan volt, mintha majdnem elaludtam volna.","Hasonlo allapotban voltam az elozo elmelyult allapothoz kepest. Olyasmi elmeny volt, mint amikor ebed utan alszom egyet.","Nem voltam olzan nyugodt, mint ay elobb, de valamennyire el tudtam lazulni most is.",No,,Male,1,3,5,2,0,Heard/read about it on the internet;,,hun,8,whitenoise,embedded,confusion,whitenoise,relaxation,No,Yes,whitenoise,confusion,No,No
15,18 - 24,4,Magyarorszag,hypnosis,control,control,hypnosis,8,7,0,0,7,"Egyreszt az a gondolat jart a fejemben, hogy idegesito a hipnotizalo pasi hangja, masreszt kicsit elkezdtek a kezeim jolesoen zsibbadni. Illetve az jart a fejemben, hogy vajon most tenyleg mely hipnozisban vagyok/e. Kicsit zsibongott a fejem is, kellemesen.","Igazabol most is elkezdett picit zsibbadni a kezem. Es sok minden jart a fejemben. 1. Az Abbatol az Andante, andente 2. hogy milzen zavaro a kulonbozo hangfelveteli reszek kozti valtas, hangero kulonbseg 3. Hogy mit fogok ide irni 4. Hogz vajon miert nem teszik ki itt az atkoto szovegeknel a vesszoket, fokent a hogy/ok elott 5. mikor lettem en ennyire kritikus 6. milyen jo mar, hogy csendben ulesert fizetnek nekem","Igazabol most nem volt semmi kulonos, csak ucsorogtem es vartam a veget. Volt egy/ket gondolatom, de eleg csendesek. Csak jo volt semmit sem csinalni. Illetve egz picit unalmas.","Most is sok gondolatom volt, de megis valahogy olyan volt, mintha mellyebben lennek - olyan erzes volt, mint mikor az ember a strand partjan kezd elaludni, es mindent egy kicsit hangosabban hall, sok gondolata van, megis tudja, hogy mindjart elalszik",No,,Female,5,0,0,5,4,Other;,"A kutatasban korabban resztvett barataim meseltek rola, ill. az egyik kutatasvezeto is egy keveset",hun,6,confusion,confusion,embedded,relaxation,whitenoise,No,No,confusion,relaxation,No,No
16,18 - 24,5,Magyarorszag,control,control,hypnosis,hypnosis,10,0,1,7,8,"relaxaltnak ereztem magam, nem tortent semmi kulonos, tudtam a belsomre koncentralni, nem nagyon kalandoztak el a gondolataim","melyen relaxaltnak ereztem magam, nyugodt voltam, a testem ellazult","nagyon nyugodtnak ereztem magam, a fejem es az egesz testem elnehezult, a szemem nagyon kenyelmesen volt csukva, kicsit olyan erzes volt, mintha eberen aludnek","nagyon nyugodt voltam, ellazultam, a szam kinyilt, a fejem mintha oldalra dolt volna. kicsit ahhoz hasonlitott az erzes, mint amikor mar majdnem elalszom. a homlokomban bizsergest ereztem. nem gondoltam semmire",No,,Female,1,2,6,8,6,Other;,"pszichologia szakos tanarom meselt rola nehanszor, tovabba ismerosoktol hallottam rola",hun,10,confusion,embedded,relaxation,whitenoise,confusion,No,No,confusion,relaxation,No,No
17,18 - 24,1,Magyarorszag,control,hypnosis,control,hypnosis,5,2,7,0,4,"Nem eltem at mely tudatallapotvaltozast, de sikerult ellazulnom. Ez hullamokban tort ram, volt, hogy nehany masodpercre teljesen ellazultam, de volt, hogy szinte teljesen felebredtem kozben.","Sikerult melyebbre kerulnom, mint az elozo technikaval, de megint nem sokaig maradtam ebben az allapotban, mire a hang ujra megszolalt mar reg kiemelkedtem, viszont nehany masodpercre sikerult ellazulnom elotte, a hatas viszont nem volt tartos.","Az eddigi legfelszinesebb elmeny nem sok hatassal.
","A zaj csak felidegesitett, egyaltalan nem tudtam relaxalni. Semmit sem eltem at.",Yes,Enyhe fejfajast a feher zaj kozben.,Male,0,4,0,0,1,,,hun,8,relaxation,embedded,relaxation,confusion,whitenoise,Yes,No,relaxation,embedded,No,No
18,18 - 24,5,Magyarország,control,hypnosis,control,hypnosis,9,0,9,0,9,"Hasonló volt a vizsgálat elején lévő elmélyüléshez, nyugodt voltam, de ugyanúgy cikáztak a gondolataim.","Az elején még sikerült elmélyültebb állapotban maradnom, ami a hipnózis alatt kialakult. A szemeim előtt kb 1 percig színes körkörösen hullámzó vonalakat láttam (mint az állóvíz fodrozódása, amikor beleesik valami), aztán elég hamar visszatértek a gondolataim, és átlagosan éreztem magam, mint amikor csak pihenek.","Fizikailag ellazultam, teljesen el tudtam engedni magam, még egy nagyon gyenge bizsergésszerű érzésem is volt. Szellemileg viszont nem tudtam kikapcsolni, továbbra is jöttek a gondolataim és már azt terveztem, hogy ezt a leírást hogyan fogom megfogalmazni. A felvétel közepétől már vártam, hogy vége legyen, kicsivel a befejezés előtt magamtól elkezdtem átmozgatni a testrészeimet, mert kezdtem kényelmetlenül érezni magam. ","Nyugodt, ellazult voltam, a gondolatmeneteim nem álltak meg. Az elején unatkoztam.",No,,Female,1,2,3,1,5,"Read book(s) about it;Heard/read about it on radio, podcast;",,hun,10,whitenoise,embedded,confusion,relaxation,whitenoise,Yes,Yes,confusion,relaxation,No,No
19,18 - 24,0,Magyarország,hypnosis,control,control,hypnosis,6,6,6,5,7,"Kellemes, nyugtató érés volt. Ahhoz tudnám hasonlítani, mint mielőtt elalszom egy hosszú nap után. Nyugodtnak és békésnek éreztem magamat.",Nem éreztem nagy különbséget a megszokott ébrenlét és az előső állapot között. Talán kicsit nyugodtabb voltam és kicsit elálmosodtam.,Nyugodtnak és béksnek éreztem magam. Kellemes érzés volt ilyen kisimultnak lenni.,"Teljes mértékben ellazultam és megnuygodtam. Pihentető volt és kellemes érzés. El is álmosodtam közben, olyan volt mintha csak lebegtem volna. Az alváshoz közeli állapotba kerültem.",No,,Female,6,3,5,7,4,,,hun,8,whitenoise,whitenoise,embedded,relaxation,confusion,Yes,Yes,confusion,relaxation,No,No
20,35 - 44,5,Magyarországon,control,hypnosis,hypnosis,control,8,6,8,9,8,"Egy kellemes, békés, nyugodt állapotban voltam. Egy kicsit úgy éreztem, hogy az elalvás felé közeledem, de végül nem aludtam el, éberségemet fent tudtam tartani.","Nehéz megszólalni, talán még mindig \ott\"" vagyok egy kicsit. Nagyon jó volt még mindig egy kicsit el vagyok varázsolva. Egy igazán mély és kellemes meditatív állapotot éltem meg. Úgy éreztem hogy tudatom nyugodt csendes és mély ugyanakkor mégis nagyon éber. Füleltem hogy észreveszem e a küszöb alatti ingereket illetve nagyon kíváncsi vagyok hogy mik lehettek azok. Minden esetre nagyon jó volt nem is nagyon volt kedvem kijönni az előidézett állapotból. ""","Egy kellemes, megnyugató, nyugodt állapotban volt részem, de semmi különös. Lehet, hogy már egy kicsit elültem magam, így eleinte nem éreztem úgy, hogy lépést tartok a visszaszámlálásnál említett tudatállapottal, de végül sikerült belehelyezkednem. ","A fehér zajra visszatérve egy kicsit: elég sok kép és gondolat beúszott, miközben hallgattam. Ez most tv-zaj, vagy eső?Nem is tévézünk, illetve a tévék ma már nem is hallatnak ilyen hangokat, bezzeg régen... Itt aztán egy csomó régi emlék felidőződött. A csendes szakaszban is megmaradt tudatomnak ez az aktivitása, képek és gondolatok úsztak be, amik lassan azért veszítettek intenzitásukból. ",No,,Male,7,10,8,7,6,"Read book(s) about it;Heard/read about it on the internet;Heard/read about it on radio, podcast;",,hun,10,embedded,confusion,embedded,relaxation,whitenoise,No,Yes,embedded,confusion,No,No
21,18 - 24,-1,Magyarorszag,hypnosis,control,hypnosis,control,3,4,2,4,2,Kicsit relaxaltabbnak ereztem magam de nem hinnem hogy a tudatos elmem teljesen kikapcsolt,Egyaltalan nem ereztem hogy egy elmelyult allapotban lennek,Fizikailaig teljesen relaxaltnak ereztem magam szinte az alvas kuszoben elmem viszont egy ennel kevesbbe relaxalt meg mindig igen aktiv allapotban volt,Semmilyen kulonbseget nem ereztem a hanganyag meghallgatasa elotti es utani allapotom kozott,No,,Female,3,0,4,0,2,Heard/read about it on the internet;,,hun,5,embedded,confusion,whitenoise,embedded,relaxation,Yes,No,confusion,whitenoise,No,No
22,18 - 24,4,Hungary,control,control,hypnosis,hypnosis,7,1,1,8,6,"I was already feeling sleepy before the excercise started, which only increased while I was sitting with my eyes closed. There were a few moments when I was afraid I'd fall asleep for real, and had to remind myself to stay alert. At other times I would feel agitated and impatient, wishing I could do something more productive instead, maybe go through with one of my usual meditations. Overall it was an uncomfortable experience. ","From the begining I felt both disappointed and agitated, since I had been very eager to try and experience hipnosis for real this time. Throughout the time Ispent with my eyes closed, I felt pretty alert, even restless, so naturally once I heard the recording start again I was very relieved. I'm sure this is an effective technique for relaxation, but since I came here expecting much more exciting events, all I could do throughout is think about how I'm going to describe my experience later. At least I didn't have to fight off sleepm this time.","From the start Iwas very anxcious to get 'properly hipnotised', so I'm hoping that this was finally it. This state I was in felt pretty close to what I'd experience during a meditation, but somehow it was different too. When I was left to just experience whatever I could, I was suprised to find that instead of the usual flow of thoughts my mind felt empty and looked like a white orb, full of light and only my inner monologue to keep me company. First I just marvelled at the experience, then I started telling my mind that from now on I'll be able to sleep better, have more energy to clean and cook and stay healthy in general, and to focus more during my studying sessions. Then at the very end for some reason I had the idea of telling my two hands to get further away from each other and then come back together again, I'm not sure if them obeying was the product of the hipnotic state I may have been in, but it was fun regardless. Coming back to my usual state felt different as well, during the previous two trials I could not wait to open my eyes fast enough, but now I was suprised at how in sinc my actions were with the instructions.","Now this was a bit different from the previous, I'm guessing more hypnotic state, this felt more like meditation. For starters, I felt I had to actively participate in maintaining my focus, my mind wasn't as empty as before, and on a few ocasions I found myself drifting away, completely absorbed in my plans about what to eat later, or which path I'm gonna take once I'm done here and can walk away. Nevertheless I tried, once again giving suggestions to myself about better sleep and whatnot, but I'm afraid it won't be half as potent as I felt i t was last time. Returning was also a bit less controlled by the audio I was listening to, but still far from what it was like during the two control tasks. Anyhow, my mind went a bit gray and foggy on a few ocasions and my ability to stay in the moment definitely decreased, but it was still somewhat relaxing I guess.",No,,Female,1,1,9,7,3,Attended a lecture about hypnosis,,eng,9,relaxation,whitenoise,confusion,relaxation,embedded,Yes,No,relaxation,whitenoise,No,No
